"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-07 06:45:00","BSL","AMS",21.01,"EUR","EasyJet","2023-02-27"
"2023-03-07 06:45:00","BSL","AMS",78.71,"EUR","EasyJet","2023-03-04"
"2023-03-07 08:50:00","AMS","BSL",62.42,"EUR","EasyJet","2023-02-27"
"2023-03-07 08:50:00","AMS","BSL",82.92,"EUR","EasyJet","2023-03-04"
"2023-03-07 10:30:00","BSL","BOD",89.22,"EUR","EasyJet","2023-02-27"
"2023-03-07 12:45:00","NCE","BCN",165.74,"EUR","EasyJet","2023-03-04"
"2023-03-07 14:40:00","LIS","BSL",78.99,"EUR","EasyJet","2023-02-27"
"2023-03-07 14:40:00","LIS","BSL",115.99,"EUR","EasyJet","2023-03-04"
"2023-03-07 15:15:00","BSL","NCE",30.58,"EUR","EasyJet","2023-02-27"
"2023-03-07 15:15:00","BSL","NCE",163.09,"EUR","EasyJet","2023-03-04"
"2023-03-07 17:00:00","NCE","BSL",37.55,"EUR","EasyJet","2023-02-27"
"2023-03-07 17:00:00","NCE","BSL",205.55,"EUR","EasyJet","2023-03-04"
"2023-03-07 17:15:00","BSL","OPO",59.8,"EUR","EasyJet","2023-02-27"
"2023-03-07 17:15:00","BSL","OPO",90.76,"EUR","EasyJet","2023-03-04"
"2023-03-07 19:00:00","BSL","LIS",105.64,"EUR","EasyJet","2023-02-27"
"2023-03-07 19:00:00","BSL","LIS",105.33,"EUR","EasyJet","2023-03-04"
"2023-03-07 19:20:00","OPO","BSL",61.99,"EUR","EasyJet","2023-02-27"
"2023-03-07 19:20:00","OPO","BSL",100.99,"EUR","EasyJet","2023-03-04"
"2023-03-08 06:00:00","OPO","BSL",26.49,"EUR","EasyJet","2023-02-27"
"2023-03-08 06:45:00","BSL","AMS",26.04,"EUR","EasyJet","2023-02-27"
"2023-03-08 06:45:00","BSL","AMS",54.6,"EUR","EasyJet","2023-03-04"
"2023-03-08 08:50:00","AMS","BSL",60.92,"EUR","EasyJet","2023-02-27"
"2023-03-08 08:50:00","AMS","BSL",82.92,"EUR","EasyJet","2023-03-04"
"2023-03-08 10:05:00","BSL","OPO",68.16,"EUR","EasyJet","2023-03-04"
"2023-03-08 13:50:00","OTP","MLA",349,"RON","WizzAir","2023-02-27"
"2023-03-08 15:35:00","BSL","NCE",35.61,"EUR","EasyJet","2023-02-27"
"2023-03-08 15:35:00","BSL","NCE",80.21,"EUR","EasyJet","2023-03-04"
"2023-03-08 15:55:00","LIS","BSL",70.99,"EUR","EasyJet","2023-02-27"
"2023-03-08 15:55:00","LIS","BSL",78.99,"EUR","EasyJet","2023-03-04"
"2023-03-08 15:55:00","MLA","OTP",44.99,"EUR","WizzAir","2023-02-27"
"2023-03-08 17:15:00","BSL","OPO",50.23,"EUR","EasyJet","2023-02-27"
"2023-03-08 17:15:00","BSL","OPO",89.76,"EUR","EasyJet","2023-03-04"
"2023-03-08 17:35:00","NCE","BSL",45.55,"EUR","EasyJet","2023-02-27"
"2023-03-08 17:35:00","NCE","BSL",79.05,"EUR","EasyJet","2023-03-04"
"2023-03-08 19:20:00","OPO","BSL",52.49,"EUR","EasyJet","2023-02-27"
"2023-03-08 19:20:00","OPO","BSL",59.49,"EUR","EasyJet","2023-03-04"
"2023-03-08 20:15:00","BSL","LIS",65.84,"EUR","EasyJet","2023-02-27"
